# Lunar Core 2.4.0 Handbook
# Created 2024/07/31 19:31:06


# Commands
/account {create | delete} [username] (reserved player uid). 创建或删除帐户。
/avatar {cur | all | lineup} lv(level) p(ascension) e(eidolon) s(skill levels). 设置当前角色的属性
/clear {relics | lightcones | materials | items} lv(filter level). 从目标玩家的库存中移除过滤物品。
/energy. 补充当前阵容中的所有角色能量。
/gender {male | female}。设置玩家性别。
/give [item id] x(amount) lv(level) r(rank) p(promotion). 给予目标玩家一件物品。
/giveall {materials | avatars | lightcones | relics | usables} lv(level). 向目标玩家提供物品。
/heal. 治疗你的角色。
/help. 显示可用命令的列表。
/kick @[player id]. 将一名玩家踢出服务器。
/lineup [avatar ids]. 使用风险自负！使用指定的头像 ID 设置您当前的阵容。
/mail [content]. 向目标玩家发送系统邮件。
201 : 燃料
211 : 旅情见闻
212 : 冒险记录
213 : 漫游指南
221 : 稀薄以太
222 : 凝缩以太
223 : 提纯以太
231 : 遗失光尘
232 : 遗失碎金
233 : 遗失晶块
234 : 遗失精粹
235 : 遗器残骸
236 : 自塑尘脂
241 : 命运的足迹
251 : 未熄的余烬
252 : 未熄的星芒
261 : 流光余晖
262 : 璧羽
271 : 叠影器（特制）
503 : 黑塔债券
800 : 启行的祝福
801 : 启行的祝福
802 : 巡游的祝福
1001 : 三月七
1002 : 丹恒
1003 : 姬子
1004 : 瓦尔特
1005 : 卡芙卡
1006 : 银狼
1008 : 阿兰
1009 : 艾丝妲
1013 : 黑塔
1101 : 布洛妮娅
1102 : 希儿
1103 : 希露瓦
1104 : 杰帕德
1105 : 娜塔莎
1106 : 佩拉
1107 : 克拉拉
1108 : 桑博
1109 : 虎克
1110 : 玲可
1111 : 卢卡
1112 : 托帕&账账
1201 : 青雀
1202 : 停云
1203 : 罗刹
1204 : 景元
1205 : 刃
1206 : 素裳
1207 : 驭空
1208 : 符玄
1209 : 彦卿
1210 : 桂乃芬
1211 : 白露
1212 : 镜流
1213 : 丹恒•饮月
1214 : 雪衣
1215 : 寒鸦
1217 : 藿藿
1218 : 椒丘
1221 : 云璃
1224 : 三月七
1301 : 加拉赫
1302 : 银枝
1303 : 阮•梅
1304 : 砂金
1305 : 真理医生
1306 : 花火
1307 : 黑天鹅
1308 : 黄泉
1309 : 知更鸟
1310 : 流萤
1312 : 米沙
1314 : 翡翠
1315 : 波提欧
7005 : 卡芙卡
7006 : 银狼
7205 : 刃
7212 : 镜流
7213 : 丹恒•饮月
8001 : {NICKNAME}
8002 : {NICKNAME}
8003 : {NICKNAME}
8004 : {NICKNAME}
8005 : {NICKNAME}
8006 : {NICKNAME}
11001 : 【三月七•存护】的星魂
11002 : 【丹恒】的星魂
11003 : 【姬子】的星魂
11004 : 【瓦尔特】的星魂
11005 : 【卡芙卡】的星魂
11006 : 【银狼】的星魂
11008 : 【阿兰】的星魂
11009 : 【艾丝妲】的星魂
11013 : 【黑塔】的星魂
11101 : 【布洛妮娅】的星魂
11102 : 【希儿】的星魂
11103 : 【希露瓦】的星魂
11104 : 【杰帕德】的星魂
11105 : 【娜塔莎】的星魂
11106 : 【佩拉】的星魂
11107 : 【克拉拉】的星魂
11108 : 【桑博】的星魂
11109 : 【虎克】的星魂
11110 : 【玲可】的星魂
11111 : 【卢卡】的星魂
11112 : 【托帕&账账】的星魂
11201 : 【青雀】的星魂
11202 : 【停云】的星魂
11203 : 【罗刹】的星魂
11204 : 【景元】的星魂
11205 : 【刃】的星魂
11206 : 【素裳】的星魂
11207 : 【驭空】的星魂
11208 : 【符玄】的星魂
11209 : 【彦卿】的星魂
11210 : 【桂乃芬】的星魂
11211 : 【白露】的星魂
11212 : 【镜流】的星魂
11213 : 【丹恒•饮月】的星魂
11214 : 【雪衣】的星魂
11215 : 【寒鸦】的星魂
11217 : 【藿藿】的星魂
11218 : 【椒丘】的星魂
11221 : 【云璃】的星魂
11224 : 【三月七•巡猎】的星魂
11301 : 【加拉赫】的星魂
11302 : 【银枝】的星魂
11303 : 【阮•梅】的星魂
11304 : 【砂金】的星魂
11305 : 【真理医生】的星魂
11306 : 【花火】的星魂
11307 : 【黑天鹅】的星魂
11308 : 【黄泉】的星魂
11309 : 【知更鸟】的星魂
11310 : 【流萤】的星魂
11312 : 【米沙】的星魂
11314 : 【翡翠】的星魂
11315 : 【波提欧】的星魂
18001 : 「毁灭」之影
18002 : 「毁灭」之影
18003 : 「存护」之影
18004 : 「存护」之影
18005 : 「同谐」之影
18006 : 「同谐」之影
20000 : 锋镝
20001 : 物穰
20002 : 天倾
20003 : 琥珀
20004 : 幽邃
20005 : 齐颂
20006 : 智库
20007 : 离弦
20008 : 嘉果
20009 : 乐圮
20010 : 戍御
20011 : 渊环
20012 : 轮契
20013 : 灵钥
20014 : 相抗
20015 : 蕃息
20016 : 俱殁
20017 : 开疆
20018 : 匿影
20019 : 调和
20020 : 睿见
21000 : 一场术后对话
21001 : 晚安与睡颜
21002 : 余生的第一天
21003 : 唯有沉默
21004 : 记忆中的模样
21005 : 鼹鼠党欢迎你
21006 : 「我」的诞生
21007 : 同一种心情
21008 : 猎物的视线
21009 : 朗道的选择
21010 : 论剑
21011 : 与行星相会
21012 : 秘密誓心
21013 : 别让世界静下来
21014 : 此时恰好
21015 : 决心如汗珠般闪耀
21016 : 宇宙市场趋势
21017 : 点个关注吧！
21018 : 舞！舞！舞！
21019 : 在蓝天下
21020 : 天才们的休憩
21021 : 等价交换
21022 : 延长记号
21023 : 我们是地火
21024 : 春水初生
21025 : 过往未来
21026 : 汪！散步时间！
21027 : 早餐的仪式感
21028 : 暖夜不会漫长
21029 : 后会有期
21030 : 这就是我啦！
21031 : 重返幽冥
21032 : 镂月裁云之意
21033 : 无处可逃
21034 : 今日亦是和平的一日
21035 : 何物为真
21036 : 美梦小镇大冒险
21037 : 最后的赢家
21038 : 在火的远处
21039 : 织造命运之线
21040 : 银河沦陷日
21041 : 好戏开演
21042 : 铭记于心的约定
21043 : 两个人的演唱会
21044 : 无边曼舞
21045 : 谐乐静默之后
21046 : 芳华待灼
22000 : 新手任务开始前
22001 : 嘿，我在这儿
22002 : 为了明日的旅途
23000 : 银河铁道之夜
23001 : 于夜色中
23002 : 无可取代的东西
23003 : 但战斗还未结束
23004 : 以世界之名
23005 : 制胜的瞬间
23006 : 只需等待
23007 : 雨一直下
23008 : 棺的回响
23009 : 到不了的彼岸
23010 : 拂晓之前
23011 : 她已闭上双眼
23012 : 如泥酣眠
23013 : 时节不居
23014 : 此身为剑
23015 : 比阳光更明亮的
23016 : 烦恼着，幸福着
23017 : 惊魂夜
23018 : 片刻，留在眼底
23019 : 镜中故我
23020 : 纯粹思维的洗礼
23021 : 游戏尘寰
23022 : 重塑时光之忆
23023 : 命运从未公平
23024 : 行于流逝的岸
23025 : 梦应归于何处
23026 : 夜色流光溢彩
23027 : 驶向第二次生命
23028 : 偏偏希望无价
23029 : 那无数个春天
23030 : 落日时起舞
24000 : 记一位星神的陨落
24001 : 星海巡航
24002 : 记忆的质料
24003 : 孤独的疗愈
24004 : 不息的演算
31011 : 过客的逢春木簪
31012 : 过客的游龙臂鞲
31013 : 过客的残绣风衣
31014 : 过客的冥途游履
31021 : 快枪手的野穗毡帽
31022 : 快枪手的粗革手套
31023 : 快枪手的猎风披肩
31024 : 快枪手的铆钉马靴
31031 : 圣骑的宽恕盔面
31032 : 圣骑的沉默誓环
31033 : 圣骑的肃穆胸甲
31034 : 圣骑的秩序铁靴
31041 : 雪猎的荒神兜帽
31042 : 雪猎的巨蜥手套
31043 : 雪猎的冰龙披风
31044 : 雪猎的鹿皮软靴
31051 : 拳王的冠军护头
31052 : 拳王的重炮拳套
31053 : 拳王的贴身护胸
31054 : 拳王的弧步战靴
31061 : 铁卫的铸铁面盔
31062 : 铁卫的银鳞手甲
31063 : 铁卫的旧制军服
31064 : 铁卫的白银护胫
31071 : 火匠的黑曜目镜
31072 : 火匠的御火戒指
31073 : 火匠的阻燃围裙
31074 : 火匠的合金义肢
31081 : 天才的超距遥感
31082 : 天才的频变捕手
31083 : 天才的元域深潜
31084 : 天才的引力漫步
31091 : 乐队的偏光墨镜
31092 : 乐队的巡演手绳
31093 : 乐队的钉刺皮衣
31094 : 乐队的铆钉短靴
31101 : 翔鹰的长喙头盔
31102 : 翔鹰的鹰击指环
31103 : 翔鹰的翼装束带
31104 : 翔鹰的绒羽绑带
31111 : 怪盗的千人假面
31112 : 怪盗的绘纹手套
31113 : 怪盗的纤钢爪钩
31114 : 怪盗的流星快靴
31121 : 废土客的呼吸面罩
31122 : 废土客的荒漠终端
31123 : 废土客的修士长袍
31124 : 废土客的动力腿甲
31131 : 莳者的复明义眼
31132 : 莳者的机巧木手
31133 : 莳者的承露羽衣
31134 : 莳者的天人丝履
31141 : 信使的全息目镜
31142 : 信使的百变义手
31143 : 信使的密信挎包
31144 : 信使的酷跑板鞋
31151 : 大公的冥焰冠冕
31152 : 大公的绒火指套
31153 : 大公的蒙恩长袍
31154 : 大公的绅雅礼靴
31161 : 系囚的合啮拘笼
31162 : 系囚的铅石梏铐
31163 : 系囚的幽闭缚束
31164 : 系囚的绝足锁桎
31171 : 先驱的绝热围壳
31172 : 先驱的虚极罗盘
31173 : 先驱的密合铅衣
31174 : 先驱的泊星桩锚
31181 : 钟表匠的极目透镜
31182 : 钟表匠的交运腕表
31183 : 钟表匠的空幻礼服
31184 : 钟表匠的隐梦革履
31191 : 铁骑的索敌战盔
31192 : 铁骑的摧坚铁腕
31193 : 铁骑的银影装甲
31194 : 铁骑的行空护胫
31201 : 勇烈的玄枵面甲
31202 : 勇烈的钩爪腕甲
31203 : 勇烈的飞翎瓷甲
31204 : 勇烈的逐猎腿甲
33015 : 「黑塔」的空间站点
33016 : 「黑塔」的漫历轨迹
33025 : 罗浮仙舟的天外楼船
33026 : 罗浮仙舟的建木枝蔓
33035 : 公司的巨构总部
33036 : 公司的贸易航道
33045 : 贝洛伯格的存护堡垒
33046 : 贝洛伯格的铁卫防线
33055 : 螺丝星的机械烈阳
33056 : 螺丝星的环星孔带
33065 : 萨尔索图的移动城市
33066 : 萨尔索图的晨昏界线
33075 : 塔利亚的钉壳小镇
33076 : 塔利亚的裸皮电线
33085 : 翁瓦克的诞生之岛
33086 : 翁瓦克的环岛海岸
33095 : 泰科铵的镭射球场
33096 : 泰科铵的弧光赛道
33105 : 伊须磨洲的残船鲸落
33106 : 伊须磨洲的坼裂缆索
33115 : 格拉默的铁骑兵团
33116 : 格拉默的寂静坟碑
33125 : 匹诺康尼的堂皇酒店
33126 : 匹诺康尼的逐梦轨道
33135 : 茨冈尼亚的母神卧榻
33136 : 茨冈尼亚的轮回纽结
33145 : 出云的祸津众神
33146 : 出云的终始一刀
33155 : 都蓝的穹窿金帐
33156 : 都蓝的器兽缰辔
33165 : 铸炼宫的莲华灯芯
33166 : 铸炼宫的焰轮天绸
41011 : 过客的逢春木簪
41012 : 过客的游龙臂鞲
41013 : 过客的残绣风衣
41014 : 过客的冥途游履
41021 : 快枪手的野穗毡帽
41022 : 快枪手的粗革手套
41023 : 快枪手的猎风披肩
41024 : 快枪手的铆钉马靴
41031 : 圣骑的宽恕盔面
41032 : 圣骑的沉默誓环
41033 : 圣骑的肃穆胸甲
41034 : 圣骑的秩序铁靴
41041 : 雪猎的荒神兜帽
41042 : 雪猎的巨蜥手套
41043 : 雪猎的冰龙披风
41044 : 雪猎的鹿皮软靴
41051 : 拳王的冠军护头
41052 : 拳王的重炮拳套
41053 : 拳王的贴身护胸
41054 : 拳王的弧步战靴
41061 : 铁卫的铸铁面盔
41062 : 铁卫的银鳞手甲
41063 : 铁卫的旧制军服
41064 : 铁卫的白银护胫
41071 : 火匠的黑曜目镜
41072 : 火匠的御火戒指
41073 : 火匠的阻燃围裙
41074 : 火匠的合金义肢
41081 : 天才的超距遥感
41082 : 天才的频变捕手
41083 : 天才的元域深潜
41084 : 天才的引力漫步
41091 : 乐队的偏光墨镜
41092 : 乐队的巡演手绳
41093 : 乐队的钉刺皮衣
41094 : 乐队的铆钉短靴
41101 : 翔鹰的长喙头盔
41102 : 翔鹰的鹰击指环
41103 : 翔鹰的翼装束带
41104 : 翔鹰的绒羽绑带
41111 : 怪盗的千人假面
41112 : 怪盗的绘纹手套
41113 : 怪盗的纤钢爪钩
41114 : 怪盗的流星快靴
41121 : 废土客的呼吸面罩
41122 : 废土客的荒漠终端
41123 : 废土客的修士长袍
41124 : 废土客的动力腿甲
41131 : 莳者的复明义眼
41132 : 莳者的机巧木手
41133 : 莳者的承露羽衣
41134 : 莳者的天人丝履
41141 : 信使的全息目镜
41142 : 信使的百变义手
41143 : 信使的密信挎包
41144 : 信使的酷跑板鞋
41151 : 大公的冥焰冠冕
41152 : 大公的绒火指套
41153 : 大公的蒙恩长袍
41154 : 大公的绅雅礼靴
41161 : 系囚的合啮拘笼
41162 : 系囚的铅石梏铐
41163 : 系囚的幽闭缚束
41164 : 系囚的绝足锁桎
41171 : 先驱的绝热围壳
41172 : 先驱的虚极罗盘
41173 : 先驱的密合铅衣
41174 : 先驱的泊星桩锚
41181 : 钟表匠的极目透镜
41182 : 钟表匠的交运腕表
41183 : 钟表匠的空幻礼服
41184 : 钟表匠的隐梦革履
41191 : 铁骑的索敌战盔
41192 : 铁骑的摧坚铁腕
41193 : 铁骑的银影装甲
41194 : 铁骑的行空护胫
41201 : 勇烈的玄枵面甲
41202 : 勇烈的钩爪腕甲
41203 : 勇烈的飞翎瓷甲
41204 : 勇烈的逐猎腿甲
43015 : 「黑塔」的空间站点
43016 : 「黑塔」的漫历轨迹
43025 : 罗浮仙舟的天外楼船
43026 : 罗浮仙舟的建木枝蔓
43035 : 公司的巨构总部
43036 : 公司的贸易航道
43045 : 贝洛伯格的存护堡垒
43046 : 贝洛伯格的铁卫防线
43055 : 螺丝星的机械烈阳
43056 : 螺丝星的环星孔带
43065 : 萨尔索图的移动城市
43066 : 萨尔索图的晨昏界线
43075 : 塔利亚的钉壳小镇
43076 : 塔利亚的裸皮电线
43085 : 翁瓦克的诞生之岛
43086 : 翁瓦克的环岛海岸
43095 : 泰科铵的镭射球场
43096 : 泰科铵的弧光赛道
43105 : 伊须磨洲的残船鲸落
43106 : 伊须磨洲的坼裂缆索
43115 : 格拉默的铁骑兵团
43116 : 格拉默的寂静坟碑
43125 : 匹诺康尼的堂皇酒店
43126 : 匹诺康尼的逐梦轨道
43135 : 茨冈尼亚的母神卧榻
43136 : 茨冈尼亚的轮回纽结
43145 : 出云的祸津众神
43146 : 出云的终始一刀
43155 : 都蓝的穹窿金帐
43156 : 都蓝的器兽缰辔
43165 : 铸炼宫的莲华灯芯
43166 : 铸炼宫的焰轮天绸
51011 : 过客的逢春木簪
51012 : 过客的游龙臂鞲
51013 : 过客的残绣风衣
51014 : 过客的冥途游履
51021 : 快枪手的野穗毡帽
51022 : 快枪手的粗革手套
51023 : 快枪手的猎风披肩
51024 : 快枪手的铆钉马靴
51031 : 圣骑的宽恕盔面
51032 : 圣骑的沉默誓环
51033 : 圣骑的肃穆胸甲
51034 : 圣骑的秩序铁靴
51041 : 雪猎的荒神兜帽
51042 : 雪猎的巨蜥手套
51043 : 雪猎的冰龙披风
51044 : 雪猎的鹿皮软靴
51051 : 拳王的冠军护头
51052 : 拳王的重炮拳套
51053 : 拳王的贴身护胸
51054 : 拳王的弧步战靴
51061 : 铁卫的铸铁面盔
51062 : 铁卫的银鳞手甲
51063 : 铁卫的旧制军服
51064 : 铁卫的白银护胫
51071 : 火匠的黑曜目镜
51072 : 火匠的御火戒指
51073 : 火匠的阻燃围裙
51074 : 火匠的合金义肢
51081 : 天才的超距遥感
51082 : 天才的频变捕手
51083 : 天才的元域深潜
51084 : 天才的引力漫步
51091 : 乐队的偏光墨镜
51092 : 乐队的巡演手绳
51093 : 乐队的钉刺皮衣
51094 : 乐队的铆钉短靴
51101 : 翔鹰的长喙头盔
51102 : 翔鹰的鹰击指环
51103 : 翔鹰的翼装束带
51104 : 翔鹰的绒羽绑带
51111 : 怪盗的千人假面
51112 : 怪盗的绘纹手套
51113 : 怪盗的纤钢爪钩
51114 : 怪盗的流星快靴
51121 : 废土客的呼吸面罩
51122 : 废土客的荒漠终端
51123 : 废土客的修士长袍
51124 : 废土客的动力腿甲
51131 : 莳者的复明义眼
51132 : 莳者的机巧木手
51133 : 莳者的承露羽衣
51134 : 莳者的天人丝履
51141 : 信使的全息目镜
51142 : 信使的百变义手
51143 : 信使的密信挎包
51144 : 信使的酷跑板鞋
51151 : 大公的冥焰冠冕
51152 : 大公的绒火指套
51153 : 大公的蒙恩长袍
51154 : 大公的绅雅礼靴
51161 : 系囚的合啮拘笼
51162 : 系囚的铅石梏铐
51163 : 系囚的幽闭缚束
51164 : 系囚的绝足锁桎
51171 : 先驱的绝热围壳
51172 : 先驱的虚极罗盘
51173 : 先驱的密合铅衣
51174 : 先驱的泊星桩锚
51181 : 钟表匠的极目透镜
51182 : 钟表匠的交运腕表
51183 : 钟表匠的空幻礼服
51184 : 钟表匠的隐梦革履
51191 : 铁骑的索敌战盔
51192 : 铁骑的摧坚铁腕
51193 : 铁骑的银影装甲
51194 : 铁骑的行空护胫
51201 : 勇烈的玄枵面甲
51202 : 勇烈的钩爪腕甲
51203 : 勇烈的飞翎瓷甲
51204 : 勇烈的逐猎腿甲
53015 : 「黑塔」的空间站点
53016 : 「黑塔」的漫历轨迹
53025 : 罗浮仙舟的天外楼船
53026 : 罗浮仙舟的建木枝蔓
53035 : 公司的巨构总部
53036 : 公司的贸易航道
53045 : 贝洛伯格的存护堡垒
53046 : 贝洛伯格的铁卫防线
53055 : 螺丝星的机械烈阳
53056 : 螺丝星的环星孔带
53065 : 萨尔索图的移动城市
53066 : 萨尔索图的晨昏界线
53075 : 塔利亚的钉壳小镇
53076 : 塔利亚的裸皮电线
53085 : 翁瓦克的诞生之岛
53086 : 翁瓦克的环岛海岸
53095 : 泰科铵的镭射球场
53096 : 泰科铵的弧光赛道
53105 : 伊须磨洲的残船鲸落
53106 : 伊须磨洲的坼裂缆索
53115 : 格拉默的铁骑兵团
53116 : 格拉默的寂静坟碑
53125 : 匹诺康尼的堂皇酒店
53126 : 匹诺康尼的逐梦轨道
53135 : 茨冈尼亚的母神卧榻
53136 : 茨冈尼亚的轮回纽结
53145 : 出云的祸津众神
53146 : 出云的终始一刀
53155 : 都蓝的穹窿金帐
53156 : 都蓝的器兽缰辔
53165 : 铸炼宫的莲华灯芯
53166 : 铸炼宫的焰轮天绸
55001 : 过客的残绣风衣
55002 : 过客的冥途游履
55003 : 快枪手的猎风披肩
55004 : 圣骑的肃穆胸甲
55005 : 圣骑的秩序铁靴
55006 : 拳王的贴身护胸
61011 : 过客的逢春木簪
61012 : 过客的游龙臂鞲
61013 : 过客的残绣风衣
61014 : 过客的冥途游履
61021 : 快枪手的野穗毡帽
61022 : 快枪手的粗革手套
61023 : 快枪手的猎风披肩
61024 : 快枪手的铆钉马靴
61031 : 圣骑的宽恕盔面
61032 : 圣骑的沉默誓环
61033 : 圣骑的肃穆胸甲
61034 : 圣骑的秩序铁靴
61041 : 雪猎的荒神兜帽
61042 : 雪猎的巨蜥手套
61043 : 雪猎的冰龙披风
61044 : 雪猎的鹿皮软靴
61051 : 拳王的冠军护头
61052 : 拳王的重炮拳套
61053 : 拳王的贴身护胸
61054 : 拳王的弧步战靴
61061 : 铁卫的铸铁面盔
61062 : 铁卫的银鳞手甲
61063 : 铁卫的旧制军服
61064 : 铁卫的白银护胫
61071 : 火匠的黑曜目镜
61072 : 火匠的御火戒指
61073 : 火匠的阻燃围裙
61074 : 火匠的合金义肢
61081 : 天才的超距遥感
61082 : 天才的频变捕手
61083 : 天才的元域深潜
61084 : 天才的引力漫步
61091 : 乐队的偏光墨镜
61092 : 乐队的巡演手绳
61093 : 乐队的钉刺皮衣
61094 : 乐队的铆钉短靴
61101 : 翔鹰的长喙头盔
61102 : 翔鹰的鹰击指环
61103 : 翔鹰的翼装束带
61104 : 翔鹰的绒羽绑带
61111 : 怪盗的千人假面
61112 : 怪盗的绘纹手套
61113 : 怪盗的纤钢爪钩
61114 : 怪盗的流星快靴
61121 : 废土客的呼吸面罩
61122 : 废土客的荒漠终端
61123 : 废土客的修士长袍
61124 : 废土客的动力腿甲
61131 : 莳者的复明义眼
61132 : 莳者的机巧木手
61133 : 莳者的承露羽衣
61134 : 莳者的天人丝履
61141 : 信使的全息目镜
61142 : 信使的百变义手
61143 : 信使的密信挎包
61144 : 信使的酷跑板鞋
61151 : 大公的冥焰冠冕
61152 : 大公的绒火指套
61153 : 大公的蒙恩长袍
61154 : 大公的绅雅礼靴
61161 : 系囚的合啮拘笼
61162 : 系囚的铅石梏铐
61163 : 系囚的幽闭缚束
61164 : 系囚的绝足锁桎
61171 : 先驱的绝热围壳
61172 : 先驱的虚极罗盘
61173 : 先驱的密合铅衣
61174 : 先驱的泊星桩锚
61181 : 钟表匠的极目透镜
61182 : 钟表匠的交运腕表
61183 : 钟表匠的空幻礼服
61184 : 钟表匠的隐梦革履
61191 : 铁骑的索敌战盔
61192 : 铁骑的摧坚铁腕
61193 : 铁骑的银影装甲
61194 : 铁骑的行空护胫
61201 : 勇烈的玄枵面甲
61202 : 勇烈的钩爪腕甲
61203 : 勇烈的飞翎瓷甲
61204 : 勇烈的逐猎腿甲
63015 : 「黑塔」的空间站点
63016 : 「黑塔」的漫历轨迹
63025 : 罗浮仙舟的天外楼船
63026 : 罗浮仙舟的建木枝蔓
63035 : 公司的巨构总部
63036 : 公司的贸易航道
63045 : 贝洛伯格的存护堡垒
63046 : 贝洛伯格的铁卫防线
63055 : 螺丝星的机械烈阳
63056 : 螺丝星的环星孔带
63065 : 萨尔索图的移动城市
63066 : 萨尔索图的晨昏界线
63075 : 塔利亚的钉壳小镇
63076 : 塔利亚的裸皮电线
63085 : 翁瓦克的诞生之岛
63086 : 翁瓦克的环岛海岸
63095 : 泰科铵的镭射球场
63096 : 泰科铵的弧光赛道
63105 : 伊须磨洲的残船鲸落
63106 : 伊须磨洲的坼裂缆索
63115 : 格拉默的铁骑兵团
63116 : 格拉默的寂静坟碑
63125 : 匹诺康尼的堂皇酒店
63126 : 匹诺康尼的逐梦轨道
63135 : 茨冈尼亚的母神卧榻
63136 : 茨冈尼亚的轮回纽结
63145 : 出云的祸津众神
63146 : 出云的终始一刀
63155 : 都蓝的穹窿金帐
63156 : 都蓝的器兽缰辔
63165 : 铸炼宫的莲华灯芯
63166 : 铸炼宫的焰轮天绸
71000 : 遗器铸盒：云无留迹的过客
71001 : 遗器铸盒：野穗伴行的快枪手
71002 : 遗器铸盒：净庭教宗的圣骑士
71003 : 遗器铸盒：密林卧雪的猎人
71004 : 遗器铸盒：街头出身的拳王
71005 : 遗器铸盒：戍卫风雪的铁卫
71006 : 遗器铸盒：熔岩锻铸的火匠
71007 : 遗器铸盒：繁星璀璨的天才
71008 : 遗器铸盒：激奏雷电的乐队
71009 : 遗器铸盒：晨昏交界的翔鹰
71010 : 遗器铸盒：流星追迹的怪盗
71011 : 遗器铸盒：盗匪荒漠的废土客
71012 : 遗器铸盒：太空封印站
71013 : 遗器铸盒：不老者的仙舟
71014 : 遗器铸盒：泛银河商业公司
71015 : 遗器铸盒：筑城者的贝洛伯格
71016 : 遗器铸盒：星体差分机
71017 : 遗器铸盒：停转的萨尔索图
71018 : 遗器铸盒：盗贼公国塔利亚
71019 : 遗器铸盒：生命的翁瓦克
81011 : 云无留迹的过客
81012 : 云无留迹的过客
81013 : 云无留迹的过客
81014 : 云无留迹的过客
81021 : 野穗伴行的快枪手
81022 : 野穗伴行的快枪手
81023 : 野穗伴行的快枪手
81024 : 野穗伴行的快枪手
81031 : 净庭教宗的圣骑士
81032 : 净庭教宗的圣骑士
81033 : 净庭教宗的圣骑士
81034 : 净庭教宗的圣骑士
81041 : 密林卧雪的猎人
81042 : 密林卧雪的猎人
81043 : 密林卧雪的猎人
81044 : 密林卧雪的猎人
81051 : 街头出身的拳王
81052 : 街头出身的拳王
81053 : 街头出身的拳王
81054 : 街头出身的拳王
81061 : 戍卫风雪的铁卫
81062 : 戍卫风雪的铁卫
81063 : 戍卫风雪的铁卫
81064 : 戍卫风雪的铁卫
81071 : 熔岩锻铸的火匠
81072 : 熔岩锻铸的火匠
81073 : 熔岩锻铸的火匠
81074 : 熔岩锻铸的火匠
81081 : 繁星璀璨的天才
81082 : 繁星璀璨的天才
81083 : 繁星璀璨的天才
81084 : 繁星璀璨的天才
81091 : 激奏雷电的乐队
81092 : 激奏雷电的乐队
81093 : 激奏雷电的乐队
81094 : 激奏雷电的乐队
81101 : 晨昏交界的翔鹰
81102 : 晨昏交界的翔鹰
81103 : 晨昏交界的翔鹰
81104 : 晨昏交界的翔鹰
